70	1346	1
105	15209	1
114	14522	1
114	14671	1
114	15180	1
127	30894	1
143	28233	1
144	1075	1
189	15362	1
240	2627	1
268	6052	1
268	10700	1
271	6863	1
285	27932	1
286	9298	1
286	16589	1
286	20107	1
287	27954	1
309	14550	1
319	9249	1
333	6838	1
333	7738	1
333	23175	1
357	11445	1
377	8966	1
377	28325	1
385	19879	1
398	31615	1
403	10809	1
416	1692	1
424	31276	1
455	1900	1
455	19206	1
459	9177	1
475	20574	1
479	18813	1
508	1251	1
514	14808	1
524	1028	1
555	17844	1
564	30789	1
568	6477	1
572	12783	1
592	1021	1
592	27510	1
615	27476	1
618	5597	1
663	5129	1
663	29151	1
707	7068	1
791	4733	1
799	30578	1
869	19506	1
873	25315	1
873	27086	1
884	1347	1
884	14933	1
890	9320	3
905	13358	1
918	27529	1
945	12378	1
981	28158	1
991	5907	1
991	21569	1
991	28619	1
991	29064	1
1021	592	1
1021	27510	1
1028	524	1
1042	21681	1
1075	144	1
1094	7525	1
1132	9223	1
1132	12265	1
1143	13896	1
1143	27034	1
1155	15786	1
1155	28781	1
1169	22948	1
1193	5161	1
1204	15247	1
1225	14552	1
1225	19591	1
1225	29886	1
1231	10255	1
1241	11193	1
1241	12560	1
1241	12939	1
1244	15190	1
1251	508	1
1254	10499	1
1264	7923	1
1264	8582	1
1264	20150	1
1267	11774	1
1297	3152	1
1301	3985	1
1320	7005	1
1332	31340	1
1346	70	1
1347	884	1
1347	14933	1
1358	14666	1
1358	26642	1
1358	29238	1
1370	25347	1
1391	4112	1
1450	3106	1
1450	6912	1
1460	27336	1
1467	19234	1
1467	22386	1
1489	22981	1
1493	19704	1
1495	8908	1
1495	24162	1
1518	30635	1
1522	7814	1
1533	3666	1
1545	3188	1
1564	25542	1
1569	21982	1
1569	27495	1
1577	31434	1
1639	30584	1
1661	7883	1
1692	416	1
1692	16136	1
1704	13766	1
1704	28317	1
1714	10943	1
1729	25053	1
1784	16826	1
1815	6227	1
1816	7414	1
1816	21199	1
1816	26732	1
1861	29057	1
1900	455	1
1900	19206	1
1904	9533	1
1904	15185	1
1904	31114	1
1906	17115	1
1906	31243	1
1958	8478	1
1958	13692	1
1958	23271	1
1997	24566	1
2011	23112	1
2012	12343	1
2027	16938	1
2062	5681	1
2089	25298	1
2096	12377	1
2096	12663	1
2110	9071	1
2110	29819	1
2167	10408	1
